playerName,team,matches_played,total_actions,passes_attempted,passes_completed,avg_pass_distance,assists,key_passes,pass_completion_rate,goals,shots_total,shots_on_target,defensive_actions,avg_x_position,avg_y_position,primary_zone,minutes_played_approx,goals_per_match,assists_per_match,shots_per_match,shot_conversion_rate,shots_on_target_rate
B. Cremaschi,Inter Miami,22,1055,604,527,14.55066225165563,1,11,0.873,4,18,11,47,48.147203791469195,48.05080568720379,Back,100,0.182,0.045,0.818,0.222,0.611
C. dos Santos,Inter Miami,1,48,36,33,26.702777777777776,0,0,0.917,0,0,0,0,11.277083333333332,52.06041666666667,Back,93,0.0,0.0,0.0,0.0,0.0
D. Callender,Inter Miami,32,1644,1116,902,27.42921146953405,0,0,0.808,0,0,0,18,8.943673965936739,49.75693430656934,Back,99,0.0,0.0,0.0,0.0,0.0
D. Gómez,Inter Miami,19,1191,604,488,15.439569536423841,3,12,0.808,3,23,17,71,53.12628043660789,64.42896725440805,Back,99,0.158,0.158,1.211,0.13,0.739
D. Martínez,Inter Miami,4,304,205,176,22.474146341463413,1,1,0.859,0,0,0,32,31.554605263157896,73.94276315789473,Back,98,0.0,0.25,0.0,0.0,0.0
D. Ruíz,Inter Miami,28,1074,627,547,14.84641148325359,2,4,0.872,1,12,6,59,47.95474860335196,42.17178770949721,Back,99,0.036,0.071,0.429,0.083,0.5
D. Yedlin,Inter Miami,3,222,134,115,14.941044776119403,0,0,0.858,0,0,0,24,40.766216216216215,13.143243243243244,Back,94,0.0,0.0,0.0,0.0,0.0
F. Negri,Inter Miami,11,742,466,374,15.4706008583691,1,7,0.803,1,3,2,62,43.3822102425876,84.15377358490566,Back,100,0.091,0.091,0.273,0.333,0.667
F. Redondo,Inter Miami,16,1219,842,754,15.859738717339667,2,8,0.895,2,10,5,49,47.20360951599672,44.2253486464315,Back,97,0.125,0.125,0.625,0.2,0.5
I. Fray,Inter Miami,14,608,327,276,18.496330275229358,0,5,0.844,2,6,5,48,38.034375000000004,20.423684210526318,Back,99,0.143,0.0,0.429,0.333,0.833
J. Gressel,Inter Miami,32,1766,1197,945,17.08454469507101,9,35,0.789,1,29,17,52,53.93595696489241,30.029614949037374,Back,97,0.031,0.281,0.906,0.034,0.586
Jean Mota,Inter Miami,2,16,12,10,12.191666666666668,0,0,0.833,0,0,0,0,40.86875,64.13125,Back,17,0.0,0.0,0.0,0.0,0.0
Jordi Alba,Inter Miami,28,2512,1924,1563,17.102806652806656,11,33,0.812,4,18,11,82,49.589211783439495,81.80505573248408,Back,101,0.143,0.393,0.643,0.222,0.611
L. Campana,Inter Miami,28,810,376,286,13.130851063829788,2,7,0.761,8,35,25,26,58.49913580246914,46.737037037037034,Center,99,0.286,0.071,1.25,0.229,0.714
L. Messi,Inter Miami,19,1365,858,674,16.706060606060607,10,20,0.786,20,84,65,17,64.44410256410256,41.95282051282051,Center,102,1.053,0.526,4.421,0.238,0.774
L. Sunderland,Inter Miami,5,176,113,99,13.457522123893806,1,3,0.876,0,1,0,8,50.63522727272727,56.95511363636364,Back,96,0.0,0.2,0.2,0.0,0.0
L. Suárez,Inter Miami,27,1180,691,515,13.74413892908828,8,25,0.745,21,75,59,18,63.69813559322034,53.69491525423729,Center,101,0.778,0.296,2.778,0.28,0.787
Leo Afonso,Inter Miami,11,229,96,63,13.174999999999999,0,5,0.656,2,5,4,16,55.79388646288209,72.15109170305676,Back,95,0.182,0.0,0.455,0.4,0.8
M. Rojas,Inter Miami,14,623,409,325,16.405378973105133,2,6,0.795,4,18,12,23,53.250722311396466,50.26789727126806,Center,100,0.286,0.143,1.286,0.222,0.667
M. Weigandt,Inter Miami,23,1811,1108,939,14.871750902527078,2,15,0.847,0,17,7,130,43.751739370513526,17.69790171176146,Back,100,0.0,0.087,0.739,0.0,0.412
N. Allen,Inter Miami,18,1024,688,600,18.042732558139534,0,4,0.872,0,1,1,67,33.2689453125,74.09814453125,Back,100,0.0,0.0,0.056,0.0,1.0
N. Freire,Inter Miami,10,927,696,632,18.39396551724138,0,0,0.908,0,1,0,63,32.39622437971953,64.93149946062567,Back,99,0.0,0.0,0.1,0.0,0.0
Pep Casas,Inter Miami,2,46,30,23,14.206666666666667,0,0,0.767,0,0,0,2,53.21304347826087,37.767391304347825,Center,23,0.0,0.0,0.0,0.0,0.0
R. Sailor,Inter Miami,9,291,197,170,19.84720812182741,0,0,0.863,0,2,1,24,32.40859106529209,35.5360824742268,Back,99,0.0,0.0,0.222,0.0,0.5
R. Taylor,Inter Miami,27,1047,610,487,14.351639344262296,3,19,0.798,5,25,17,31,58.281948424068766,69.80869149952244,Center,97,0.185,0.111,0.926,0.2,0.68
S. Borgelin,Inter Miami,6,95,31,16,13.483870967741936,0,0,0.516,0,3,2,5,57.344210526315784,43.04,Center,100,0.0,0.0,0.5,0.0,0.667
S. Kryvtsov,Inter Miami,23,1425,1022,945,18.676320939334637,0,2,0.925,1,3,3,101,29.52343859649123,54.20764912280701,Back,98,0.043,0.0,0.13,0.333,1.0
Sergio Busquets,Inter Miami,30,2885,2096,1866,17.24212786259542,4,15,0.89,1,2,2,146,40.62939341421144,52.640901213171574,Back,100,0.033,0.133,0.067,0.5,1.0
T. Avilés,Inter Miami,27,2329,1695,1542,19.363362831858407,0,4,0.91,0,8,4,158,32.032288535852295,33.078746243022756,Back,99,0.0,0.0,0.296,0.0,0.5
Y. Bright,Inter Miami,23,1355,762,663,15.6498687664042,2,4,0.87,0,3,0,117,42.489963099631,53.04848708487085,Back,100,0.0,0.087,0.13,0.0,0.0
Ó. Ustari,Inter Miami,1,70,47,42,23.90212765957447,0,0,0.894,0,0,0,0,8.780000000000001,49.21714285714285,Back,95,0.0,0.0,0.0,0.0,0.0
